time,host
02/02/2020 00:42:04,52
02/02/2020 01:01:12,51
02/02/2020 01:19:18,41
02/02/2020 01:43:22,39
02/02/2020 02:03:24,34
02/02/2020 03:19:34,29
02/02/2020 04:23:25,27
02/02/2020 05:03:18,23
02/02/2020 05:32:42,29
02/02/2020 06:40:24,29
02/02/2020 07:45:23,32
02/02/2020 08:43:33,34
02/02/2020 09:03:38,42
02/02/2020 10:23:04,52
02/02/2020 10:43:12,51
02/02/2020 11:03:18,46
02/02/2020 11:23:22,49
02/02/2020 12:03:24,48
02/02/2020 12:23:28,46
02/02/2020 12:43:33,46
02/02/2020 13:03:38,47
02/02/2020 13:23:43,48
02/02/2020 13:53:38,49
02/02/2020 14:40:23,50
02/02/2020 15:23:42,55
02/02/2020 16:25:25,58
02/02/2020 16:45:30,59
02/02/2020 17:05:37,63
02/02/2020 17:25:42,68
02/02/2020 17:45:48,70
02/02/2020 18:05:54,76
02/02/2020 18:25:59,76
02/02/2020 18:46:04,80
02/02/2020 19:06:09,84
02/02/2020 19:26:15,82
02/02/2020 19:46:19,81
02/02/2020 20:05:54,76
02/02/2020 20:35:50,76
02/02/2020 21:46:54,80
02/02/2020 22:06:19,84
02/02/2020 22:46:45,79
02/02/2020 23:36:19,71
02/02/2020 23:59:54,69
03/02/2020 00:42:04,52
03/02/2020 01:01:12,51
03/02/2020 01:19:18,41
03/02/2020 01:43:22,39
03/02/2020 02:03:24,34
03/02/2020 03:19:34,29
03/02/2020 04:23:25,27
03/02/2020 05:03:18,23
03/02/2020 05:32:42,29
03/02/2020 06:40:24,29
03/02/2020 07:45:23,32
03/02/2020 08:43:33,34
03/02/2020 09:03:38,42
03/02/2020 10:23:04,52
03/02/2020 10:43:12,51
03/02/2020 11:03:18,46
03/02/2020 11:23:22,49
03/02/2020 12:03:24,48
03/02/2020 12:23:28,46
03/02/2020 12:43:33,46
03/02/2020 13:03:38,47
03/02/2020 13:23:43,48
03/02/2020 13:53:38,49
03/02/2020 14:40:23,50
03/02/2020 15:23:42,55
03/02/2020 16:25:25,58
03/02/2020 16:45:30,59
03/02/2020 17:05:37,63
03/02/2020 17:25:42,68
03/02/2020 17:45:48,70
03/02/2020 18:05:54,76
03/02/2020 18:25:59,76
03/02/2020 18:46:04,80
03/02/2020 19:06:09,84
03/02/2020 19:26:15,82
03/02/2020 19:46:19,81
03/02/2020 20:05:54,76
03/02/2020 20:35:50,76
03/02/2020 21:46:54,80
03/02/2020 22:06:19,84
03/02/2020 22:46:45,79
03/02/2020 23:36:19,71
03/02/2020 23:59:54,69
04/02/2020 00:42:04,52
04/02/2020 01:01:12,51
04/02/2020 01:19:18,41
04/02/2020 01:43:22,39
04/02/2020 02:03:24,34
04/02/2020 03:19:34,29
04/02/2020 04:23:25,27
04/02/2020 05:03:18,23
04/02/2020 05:32:42,29
04/02/2020 06:40:24,29
04/02/2020 07:45:23,32
04/02/2020 08:43:33,34
04/02/2020 09:03:38,42
04/02/2020 10:23:04,52
04/02/2020 10:43:12,51
04/02/2020 11:03:18,46
04/02/2020 11:23:22,49
04/02/2020 12:03:24,48
04/02/2020 12:23:28,46
04/02/2020 12:43:33,46
04/02/2020 13:03:38,47
04/02/2020 13:23:43,48
04/02/2020 13:53:38,49
04/02/2020 14:40:23,50
04/02/2020 15:23:42,55
04/02/2020 16:25:25,58
04/02/2020 16:45:30,59
04/02/2020 17:05:37,63
04/02/2020 17:25:42,68
04/02/2020 17:45:48,70
04/02/2020 18:05:54,76
04/02/2020 18:25:59,76
04/02/2020 18:46:04,80
04/02/2020 19:06:09,84
04/02/2020 19:26:15,82
04/02/2020 19:46:19,81
04/02/2020 20:05:54,76
04/02/2020 20:35:50,76
04/02/2020 21:46:54,80
04/02/2020 22:06:19,84
04/02/2020 22:46:45,79
04/02/2020 23:36:19,71
04/02/2020 23:59:54,69
06/02/2020 00:42:04,52
06/02/2020 01:01:12,51
06/02/2020 01:19:18,41
06/02/2020 01:43:22,39
06/02/2020 02:03:24,34
06/02/2020 03:19:34,29
06/02/2020 04:23:25,27
06/02/2020 05:03:18,23
06/02/2020 05:32:42,29
06/02/2020 06:40:24,29
06/02/2020 07:45:23,32
06/02/2020 08:43:33,34
06/02/2020 09:03:38,42
06/02/2020 10:23:04,52
06/02/2020 10:43:12,51
06/02/2020 11:03:18,46
06/02/2020 11:23:22,49
06/02/2020 12:03:24,48
06/02/2020 12:23:28,46
06/02/2020 12:43:33,46
06/02/2020 13:03:38,47
06/02/2020 13:23:43,48
06/02/2020 13:53:38,49
06/02/2020 14:40:23,50
06/02/2020 15:23:42,55
06/02/2020 16:25:25,58
06/02/2020 16:45:30,59
06/02/2020 17:05:37,63
06/02/2020 17:25:42,68
06/02/2020 17:45:48,70
06/02/2020 18:05:54,76
06/02/2020 18:25:59,76
06/02/2020 18:46:04,80
06/02/2020 19:06:09,84
06/02/2020 19:26:15,82
06/02/2020 19:46:19,81
06/02/2020 20:05:54,76
06/02/2020 20:35:50,76
06/02/2020 21:46:54,80
06/02/2020 22:06:19,84
06/02/2020 22:46:45,79
06/02/2020 23:36:19,71
06/02/2020 23:59:54,69